,state_id,area_type,age_group_of_head,marital_status,male,female
3314,2,Rural,40-49,Widowed,3921,24276
3315,2,Rural,50-59,Widowed,8314,39449
3316,2,Rural,60-69,Widowed,13782,49739
3317,2,Rural,70-79,Widowed,14077,38509
3318,2,Rural,80+,Widowed,11109,21762
3319,2,Rural,Age Not Stated,Widowed,47,149
3320,2,Urban,All Ages,Widowed,4014,15963
3321,2,Urban,Less than 20,Widowed,2,27
3322,2,Urban,20-29,Widowed,21,77
3323,2,Urban,30-39,Widowed,116,857
3324,2,Urban,40-49,Widowed,326,2623
3325,2,Urban,50-59,Widowed,683,3757
3326,2,Urban,60-69,Widowed,982,4089
3327,2,Urban,70-79,Widowed,1085,3016
3328,2,Urban,80+,Widowed,797,1509
3329,2,Urban,Age Not Stated,Widowed,2,8
3330,3,Total,All Ages,Widowed,277112,579188
3331,3,Total,Less than 20,Widowed,497,974
3332,3,Total,20-29,Widowed,1580,3002
3333,3,Total,30-39,Widowed,7397,27502
3334,3,Total,40-49,Widowed,24999,95875
3335,3,Total,50-59,Widowed,45411,124495
3336,3,Total,60-69,Widowed,77698,161856
3337,3,Total,70-79,Widowed,69907,104937
3338,3,Total,80+,Widowed,49285,59909
3339,3,Total,Age Not Stated,Widowed,338,638
3340,3,Rural,All Ages,Widowed,184526,358986
3341,3,Rural,Less than 20,Widowed,342,623
3342,3,Rural,20-29,Widowed,986,1973
3343,3,Rural,30-39,Widowed,4675,17299
3344,3,Rural,40-49,Widowed,16046,57587
3345,3,Rural,50-59,Widowed,28042,71076
3346,3,Rural,60-69,Widowed,51310,100350
3347,3,Rural,70-79,Widowed,47591,67808
3348,3,Rural,80+,Widowed,35297,41840
3349,3,Rural,Age Not Stated,Widowed,237,430
3350,3,Urban,All Ages,Widowed,92586,220202
3351,3,Urban,Less than 20,Widowed,155,351
3352,3,Urban,20-29,Widowed,594,1029
3353,3,Urban,30-39,Widowed,2722,10203
3354,3,Urban,40-49,Widowed,8953,38288
3355,3,Urban,50-59,Widowed,17369,53419
3356,3,Urban,60-69,Widowed,26388,61506
3357,3,Urban,70-79,Widowed,22316,37129
3358,3,Urban,80+,Widowed,13988,18069
3359,3,Urban,Age Not Stated,Widowed,101,208
3360,4,Total,All Ages,Widowed,5826,16556
3361,4,Total,Less than 20,Widowed,4,21
3362,4,Total,20-29,Widowed,55,108
3363,4,Total,30-39,Widowed,259,1040
3364,4,Total,40-49,Widowed,655,3388
3365,4,Total,50-59,Widowed,1168,4416
3366,4,Total,60-69,Widowed,1424,4152
3367,4,Total,70-79,Widowed,1341,2338
3368,4,Total,80+,Widowed,919,1085
3369,4,Total,Age Not Stated,Widowed,1,8
3370,4,Rural,All Ages,Widowed,116,274
3371,4,Rural,Less than 20,Widowed,0,0
3372,4,Rural,20-29,Widowed,3,1
3373,4,Rural,30-39,Widowed,9,31
3374,4,Rural,40-49,Widowed,15,62
3375,4,Rural,50-59,Widowed,17,72
3376,4,Rural,60-69,Widowed,37,59
3377,4,Rural,70-79,Widowed,25,33
3378,4,Rural,80+,Widowed,10,16
3379,4,Rural,Age Not Stated,Widowed,0,0
3380,4,Urban,All Ages,Widowed,5710,16282
3381,4,Urban,Less than 20,Widowed,4,21
3382,4,Urban,20-29,Widowed,52,107
3383,4,Urban,30-39,Widowed,250,1009
3384,4,Urban,40-49,Widowed,640,3326
3385,4,Urban,50-59,Widowed,1151,4344
3386,4,Urban,60-69,Widowed,1387,4093
3387,4,Urban,70-79,Widowed,1316,2305
3388,4,Urban,80+,Widowed,909,1069
3389,4,Urban,Age Not Stated,Widowed,1,8
3390,5,Total,All Ages,Widowed,76738,237734
3391,5,Total,Less than 20,Widowed,171,450
3392,5,Total,20-29,Widowed,574,2072
3393,5,Total,30-39,Widowed,2823,14772
3394,5,Total,40-49,Widowed,7794,39976
3395,5,Total,50-59,Widowed,13177,54887
3396,5,Total,60-69,Widowed,23009,70294
3397,5,Total,70-79,Widowed,18631,40162
3398,5,Total,80+,Widowed,10451,14848
3399,5,Total,Age Not Stated,Widowed,108,273
3400,5,Rural,All Ages,Widowed,57259,178751
3401,5,Rural,Less than 20,Widowed,120,354
3402,5,Rural,20-29,Widowed,412,1579
3403,5,Rural,30-39,Widowed,2050,10954
3404,5,Rural,40-49,Widowed,5636,28441
3405,5,Rural,50-59,Widowed,9492,39926
3406,5,Rural,60-69,Widowed,17425,54393
3407,5,Rural,70-79,Widowed,14191,31599
3408,5,Rural,80+,Widowed,7857,11311
3409,5,Rural,Age Not Stated,Widowed,76,194
3410,5,Urban,All Ages,Widowed,19479,58983
3411,5,Urban,Less than 20,Widowed,51,96
3412,5,Urban,20-29,Widowed,162,493
3413,5,Urban,30-39,Widowed,773,3818
3414,5,Urban,40-49,Widowed,2158,11535
3415,5,Urban,50-59,Widowed,3685,14961
3416,5,Urban,60-69,Widowed,5584,15901
3417,5,Urban,70-79,Widowed,4440,8563
3418,5,Urban,80+,Widowed,2594,3537
3419,5,Urban,Age Not Stated,Widowed,32,79
3420,6,Total,All Ages,Widowed,189466,429845
3421,6,Total,Less than 20,Widowed,325,611
3422,6,Total,20-29,Widowed,1950,4514
3423,6,Total,30-39,Widowed,9172,36103
3424,6,Total,40-49,Widowed,23530,88591
3425,6,Total,50-59,Widowed,33845,96868
3426,6,Total,60-69,Widowed,50209,105566
3427,6,Total,70-79,Widowed,41200,64668
3428,6,Total,80+,Widowed,29066,32542
3429,6,Total,Age Not Stated,Widowed,169,382
3430,6,Rural,All Ages,Widowed,127584,269173
3431,6,Rural,Less than 20,Widowed,200,387
3432,6,Rural,20-29,Widowed,1312,3178
3433,6,Rural,30-39,Widowed,6490,25037
3434,6,Rural,40-49,Widowed,16356,57312
3435,6,Rural,50-59,Widowed,21841,58329
3436,6,Rural,60-69,Widowed,33398,64575
3437,6,Rural,70-79,Widowed,27361,39461
3438,6,Rural,80+,Widowed,20520,20675
3439,6,Rural,Age Not Stated,Widowed,106,219
3440,6,Urban,All Ages,Widowed,61882,160672
3441,6,Urban,Less than 20,Widowed,125,224
3442,6,Urban,20-29,Widowed,638,1336
3443,6,Urban,30-39,Widowed,2682,11066
3444,6,Urban,40-49,Widowed,7174,31279
3445,6,Urban,50-59,Widowed,12004,38539
3446,6,Urban,60-69,Widowed,16811,40991
3447,6,Urban,70-79,Widowed,13839,25207
3448,6,Urban,80+,Widowed,8546,11867
3449,6,Urban,Age Not Stated,Widowed,63,163
3450,7,Total,All Ages,Widowed,109623,302127
3451,7,Total,Less than 20,Widowed,131,367
3452,7,Total,20-29,Widowed,706,1799
3453,7,Total,30-39,Widowed,4113,17617
3454,7,Total,40-49,Widowed,12889,56574
3455,7,Total,50-59,Widowed,21952,74086
3456,7,Total,60-69,Widowed,31040,87538
3457,7,Total,70-79,Widowed,24626,45843
3458,7,Total,80+,Widowed,14083,18115
3459,7,Total,Age Not Stated,Widowed,83,188
3460,7,Rural,All Ages,Widowed,2854,7120
3461,7,Rural,Less than 20,Widowed,1,10
3462,7,Rural,20-29,Widowed,17,56
3463,7,Rural,30-39,Widowed,141,566
3464,7,Rural,40-49,Widowed,418,1491
3465,7,Rural,50-59,Widowed,527,1621
3466,7,Rural,60-69,Widowed,743,1956
3467,7,Rural,70-79,Widowed,554,962
3468,7,Rural,80+,Widowed,450,453
3469,7,Rural,Age Not Stated,Widowed,3,5
3470,7,Urban,All Ages,Widowed,106769,295007
3471,7,Urban,Less than 20,Widowed,130,357
3472,7,Urban,20-29,Widowed,689,1743
3473,7,Urban,30-39,Widowed,3972,17051
3474,7,Urban,40-49,Widowed,12471,55083
3475,7,Urban,50-59,Widowed,21425,72465
3476,7,Urban,60-69,Widowed,30297,85582
3477,7,Urban,70-79,Widowed,24072,44881
3478,7,Urban,80+,Widowed,13633,17662
3479,7,Urban,Age Not Stated,Widowed,80,183
3480,8,Total,All Ages,Widowed,441661,782582
3481,8,Total,Less than 20,Widowed,860,1240
3482,8,Total,20-29,Widowed,7589,12073
3483,8,Total,30-39,Widowed,29230,78494
3484,8,Total,40-49,Widowed,66749,157536
3485,8,Total,50-59,Widowed,94429,172221
3486,8,Total,60-69,Widowed,114912,193874
3487,8,Total,70-79,Widowed,86567,120524
3488,8,Total,80+,Widowed,39964,44385
3489,8,Total,Age Not Stated,Widowed,1361,2235
3490,8,Rural,All Ages,Widowed,344212,544773
3491,8,Rural,Less than 20,Widowed,672,839
3492,8,Rural,20-29,Widowed,6431,9607
3493,8,Rural,30-39,Widowed,24455,59618
3494,8,Rural,40-49,Widowed,54811,110771
3495,8,Rural,50-59,Widowed,74981,116017
3496,8,Rural,60-69,Widowed,89769,134356
3497,8,Rural,70-79,Widowed,64060,83051
3498,8,Rural,80+,Widowed,27931,28864
3499,8,Rural,Age Not Stated,Widowed,1102,1650
3500,8,Urban,All Ages,Widowed,97449,237809
3501,8,Urban,Less than 20,Widowed,188,401
3502,8,Urban,20-29,Widowed,1158,2466
3503,8,Urban,30-39,Widowed,4775,18876
3504,8,Urban,40-49,Widowed,11938,46765
3505,8,Urban,50-59,Widowed,19448,56204
3506,8,Urban,60-69,Widowed,25143,59518
3507,8,Urban,70-79,Widowed,22507,37473
3508,8,Urban,80+,Widowed,12033,15521
3509,8,Urban,Age Not Stated,Widowed,259,585
3510,9,Total,All Ages,Widowed,1943960,2462203
3511,9,Total,Less than 20,Widowed,8164,9313
3512,9,Total,20-29,Widowed,27019,25814
3513,9,Total,30-39,Widowed,112704,166749
3514,9,Total,40-49,Widowed,255783,418648
3515,9,Total,50-59,Widowed,362285,527765
3516,9,Total,60-69,Widowed,557804,734729
3517,9,Total,70-79,Widowed,405412,411182
3518,9,Total,80+,Widowed,202744,153299
3519,9,Total,Age Not Stated,Widowed,12045,14704
3520,9,Rural,All Ages,Widowed,1603724,1800681
3521,9,Rural,Less than 20,Widowed,6898,6998
3522,9,Rural,20-29,Widowed,22806,19296
3523,9,Rural,30-39,Widowed,94852,122524
3524,9,Rural,40-49,Widowed,209547,290321
3525,9,Rural,50-59,Widowed,290862,363302
3526,9,Rural,60-69,Widowed,463719,551715
3527,9,Rural,70-79,Widowed,336836,317952
3528,9,Rural,80+,Widowed,168776,118626
3529,9,Rural,Age Not Stated,Widowed,9428,9947
3530,9,Urban,All Ages,Widowed,340236,661522
3531,9,Urban,Less than 20,Widowed,1266,2315
3532,9,Urban,20-29,Widowed,4213,6518
3533,9,Urban,30-39,Widowed,17852,44225
3534,9,Urban,40-49,Widowed,46236,128327
3535,9,Urban,50-59,Widowed,71423,164463
3536,9,Urban,60-69,Widowed,94085,183014
3537,9,Urban,70-79,Widowed,68576,93230
3538,9,Urban,80+,Widowed,33968,34673
3539,9,Urban,Age Not Stated,Widowed,2617,4757
3540,10,Total,All Ages,Widowed,753066,1113775
3541,10,Total,Less than 20,Widowed,3099,4159
3542,10,Total,20-29,Widowed,11515,19069
3543,10,Total,30-39,Widowed,38609,98740
3544,10,Total,40-49,Widowed,88101,199962
3545,10,Total,50-59,Widowed,138009,230995
3546,10,Total,60-69,Widowed,239067,347225
3547,10,Total,70-79,Widowed,165657,163035
3548,10,Total,80+,Widowed,66765,47498
3549,10,Total,Age Not Stated,Widowed,2244,3092
3550,10,Rural,All Ages,Widowed,673172,960755
3551,10,Rural,Less than 20,Widowed,2772,3633
3552,10,Rural,20-29,Widowed,10603,16968
3553,10,Rural,30-39,Widowed,35213,86206
3554,10,Rural,40-49,Widowed,79217,170125
3555,10,Rural,50-59,Widowed,122783,194513
3556,10,Rural,60-69,Widowed,214927,302903
3557,10,Rural,70-79,Widowed,146877,142571
3558,10,Rural,80+,Widowed,58875,41226
3559,10,Rural,Age Not Stated,Widowed,1905,2610
3560,10,Urban,All Ages,Widowed,79894,153020
3561,10,Urban,Less than 20,Widowed,327,526
3562,10,Urban,20-29,Widowed,912,2101
3563,10,Urban,30-39,Widowed,3396,12534
3564,10,Urban,40-49,Widowed,8884,29837
3565,10,Urban,50-59,Widowed,15226,36482
3566,10,Urban,60-69,Widowed,24140,44322
3567,10,Urban,70-79,Widowed,18780,20464
3568,10,Urban,80+,Widowed,7890,6272
3569,10,Urban,Age Not Stated,Widowed,339,482
3570,11,Total,All Ages,Widowed,4845,8527
3571,11,Total,Less than 20,Widowed,10,18
3572,11,Total,20-29,Widowed,50,116
3573,11,Total,30-39,Widowed,219,695
3574,11,Total,40-49,Widowed,569,1622
3575,11,Total,50-59,Widowed,975,2239
3576,11,Total,60-69,Widowed,1262,2139
3577,11,Total,70-79,Widowed,1203,1250
3578,11,Total,80+,Widowed,550,436
3579,11,Total,Age Not Stated,Widowed,7,12
3580,11,Rural,All Ages,Widowed,4082,6204
3581,11,Rural,Less than 20,Widowed,6,13
3582,11,Rural,20-29,Widowed,36,83
3583,11,Rural,30-39,Widowed,178,457
3584,11,Rural,40-49,Widowed,465,1104
3585,11,Rural,50-59,Widowed,797,1586
3586,11,Rural,60-69,Widowed,1081,1633
3587,11,Rural,70-79,Widowed,1042,967
3588,11,Rural,80+,Widowed,470,350
3589,11,Rural,Age Not Stated,Widowed,7,11
3590,11,Urban,All Ages,Widowed,763,2323
3591,11,Urban,Less than 20,Widowed,4,5
3592,11,Urban,20-29,Widowed,14,33
3593,11,Urban,30-39,Widowed,41,238
3594,11,Urban,40-49,Widowed,104,518
3595,11,Urban,50-59,Widowed,178,653
3596,11,Urban,60-69,Widowed,181,506
3597,11,Urban,70-79,Widowed,161,283
3598,11,Urban,80+,Widowed,80,86
3599,11,Urban,Age Not Stated,Widowed,0,1
3600,12,Total,All Ages,Widowed,6424,15435
3601,12,Total,Less than 20,Widowed,17,44
3602,12,Total,20-29,Widowed,127,447
3603,12,Total,30-39,Widowed,545,2401
3604,12,Total,40-49,Widowed,1213,4649
3605,12,Total,50-59,Widowed,1660,3799
3606,12,Total,60-69,Widowed,1583,2717
3607,12,Total,70-79,Widowed,911,997
3608,12,Total,80+,Widowed,359,356
3609,12,Total,Age Not Stated,Widowed,9,25
3610,12,Rural,All Ages,Widowed,5638,12392
3611,12,Rural,Less than 20,Widowed,16,36
3612,12,Rural,20-29,Widowed,111,326
3613,12,Rural,30-39,Widowed,464,1760
3614,12,Rural,40-49,Widowed,1023,3480
3615,12,Rural,50-59,Widowed,1416,3106
3616,12,Rural,60-69,Widowed,1426,2436
3617,12,Rural,70-79,Widowed,846,901
3618,12,Rural,80+,Widowed,327,329
3619,12,Rural,Age Not Stated,Widowed,9,18
3620,12,Urban,All Ages,Widowed,786,3043
3621,12,Urban,Less than 20,Widowed,1,8
3622,12,Urban,20-29,Widowed,16,121
3623,12,Urban,30-39,Widowed,81,641
3624,12,Urban,40-49,Widowed,190,1169
3625,12,Urban,50-59,Widowed,244,693
3626,12,Urban,60-69,Widowed,157,281
3627,12,Urban,70-79,Widowed,65,96
3628,12,Urban,80+,Widowed,32,27
3629,12,Urban,Age Not Stated,Widowed,0,7
3630,13,Total,All Ages,Widowed,8970,29466
3631,13,Total,Less than 20,Widowed,29,61
3632,13,Total,20-29,Widowed,239,605
3633,13,Total,30-39,Widowed,856,3057
3634,13,Total,40-49,Widowed,1447,6085
3635,13,Total,50-59,Widowed,1702,6770
3636,13,Total,60-69,Widowed,1830,6477
3637,13,Total,70-79,Widowed,1597,4186
3638,13,Total,80+,Widowed,1256,2216
3639,13,Total,Age Not Stated,Widowed,14,9
3640,13,Rural,All Ages,Widowed,7429,21322
3641,13,Rural,Less than 20,Widowed,25,49
3642,13,Rural,20-29,Widowed,214,444
3643,13,Rural,30-39,Widowed,712,1868
3644,13,Rural,40-49,Widowed,1154,3944
3645,13,Rural,50-59,Widowed,1321,4757
3646,13,Rural,60-69,Widowed,1501,4975
3647,13,Rural,70-79,Widowed,1381,3427
3648,13,Rural,80+,Widowed,1110,1850
3649,13,Rural,Age Not Stated,Widowed,11,8
3650,13,Urban,All Ages,Widowed,1541,8144
3651,13,Urban,Less than 20,Widowed,4,12
3652,13,Urban,20-29,Widowed,25,161
3653,13,Urban,30-39,Widowed,144,1189
3654,13,Urban,40-49,Widowed,293,2141
3655,13,Urban,50-59,Widowed,381,2013
3656,13,Urban,60-69,Widowed,329,1502
3657,13,Urban,70-79,Widowed,216,759
3658,13,Urban,80+,Widowed,146,366
3659,13,Urban,Age Not Stated,Widowed,3,1
3660,14,Total,All Ages,Widowed,15877,58131
3661,14,Total,Less than 20,Widowed,52,183
3662,14,Total,20-29,Widowed,187,729
3663,14,Total,30-39,Widowed,718,4275
3664,14,Total,40-49,Widowed,1651,9873
3665,14,Total,50-59,Widowed,2781,13556
3666,14,Total,60-69,Widowed,3849,14662
3667,14,Total,70-79,Widowed,3904,9951
3668,14,Total,80+,Widowed,2700,4798
3669,14,Total,Age Not Stated,Widowed,35,104
3670,14,Rural,All Ages,Widowed,10586,35534
3671,14,Rural,Less than 20,Widowed,34,109
3672,14,Rural,20-29,Widowed,145,510
3673,14,Rural,30-39,Widowed,558,2852
3674,14,Rural,40-49,Widowed,1202,6393
3675,14,Rural,50-59,Widowed,1915,8364
3676,14,Rural,60-69,Widowed,2602,8901
3677,14,Rural,70-79,Widowed,2490,5751
3678,14,Rural,80+,Widowed,1616,2585
3679,14,Rural,Age Not Stated,Widowed,24,69
3680,14,Urban,All Ages,Widowed,5291,22597
3681,14,Urban,Less than 20,Widowed,18,74
3682,14,Urban,20-29,Widowed,42,219
3683,14,Urban,30-39,Widowed,160,1423
3684,14,Urban,40-49,Widowed,449,3480
3685,14,Urban,50-59,Widowed,866,5192
3686,14,Urban,60-69,Widowed,1247,5761
3687,14,Urban,70-79,Widowed,1414,4200
3688,14,Urban,80+,Widowed,1084,2213
3689,14,Urban,Age Not Stated,Widowed,11,35
3690,15,Total,All Ages,Widowed,6530,21611
3691,15,Total,Less than 20,Widowed,9,34
3692,15,Total,20-29,Widowed,80,318
3693,15,Total,30-39,Widowed,322,1606
3694,15,Total,40-49,Widowed,793,3881
3695,15,Total,50-59,Widowed,1206,5434
3696,15,Total,60-69,Widowed,1446,5143
3697,15,Total,70-79,Widowed,1617,3565
3698,15,Total,80+,Widowed,1054,1614
3699,15,Total,Age Not Stated,Widowed,3,16
3700,15,Rural,All Ages,Widowed,3456,8496
3701,15,Rural,Less than 20,Widowed,6,19
3702,15,Rural,20-29,Widowed,64,182
3703,15,Rural,30-39,Widowed,214,666
3704,15,Rural,40-49,Widowed,446,1430
3705,15,Rural,50-59,Widowed,677,2082
3706,15,Rural,60-69,Widowed,798,2118
3707,15,Rural,70-79,Widowed,793,1380
3708,15,Rural,80+,Widowed,458,614
3709,15,Rural,Age Not Stated,Widowed,0,5
3710,15,Urban,All Ages,Widowed,3074,13115
3711,15,Urban,Less than 20,Widowed,3,15
3712,15,Urban,20-29,Widowed,16,136
3713,15,Urban,30-39,Widowed,108,940
3714,15,Urban,40-49,Widowed,347,2451
3715,15,Urban,50-59,Widowed,529,3352
3716,15,Urban,60-69,Widowed,648,3025
3717,15,Urban,70-79,Widowed,824,2185
3718,15,Urban,80+,Widowed,596,1000
3719,15,Urban,Age Not Stated,Widowed,3,11
3720,16,Total,All Ages,Widowed,21258,92548
3721,16,Total,Less than 20,Widowed,49,221
3722,16,Total,20-29,Widowed,345,1667
3723,16,Total,30-39,Widowed,1126,8675
3724,16,Total,40-49,Widowed,2730,20694
3725,16,Total,50-59,Widowed,4310,24267
3726,16,Total,60-69,Widowed,5478,21768
3727,16,Total,70-79,Widowed,4646,11119
3728,16,Total,80+,Widowed,2565,4091
3729,16,Total,Age Not Stated,Widowed,9,46
3730,16,Rural,All Ages,Widowed,16529,62677
3731,16,Rural,Less than 20,Widowed,44,161
3732,16,Rural,20-29,Widowed,311,1310
3733,16,Rural,30-39,Widowed,936,6210
3734,16,Rural,40-49,Widowed,2246,13919
3735,16,Rural,50-59,Widowed,3328,15629
3736,16,Rural,60-69,Widowed,4198,14787
3737,16,Rural,70-79,Widowed,3496,7707
3738,16,Rural,80+,Widowed,1963,2928
3739,16,Rural,Age Not Stated,Widowed,7,26
3740,16,Urban,All Ages,Widowed,4729,29871
3741,16,Urban,Less than 20,Widowed,5,60
3742,16,Urban,20-29,Widowed,34,357
3743,16,Urban,30-39,Widowed,190,2465
3744,16,Urban,40-49,Widowed,484,6775
3745,16,Urban,50-59,Widowed,982,8638
3746,16,Urban,60-69,Widowed,1280,6981
3747,16,Urban,70-79,Widowed,1150,3412
3748,16,Urban,80+,Widowed,602,1163
3749,16,Urban,Age Not Stated,Widowed,2,20
3750,17,Total,All Ages,Widowed,11318,57205
3751,17,Total,Less than 20,Widowed,37,144
3752,17,Total,20-29,Widowed,196,1269
3753,17,Total,30-39,Widowed,796,5456
3754,17,Total,40-49,Widowed,2105,13133
3755,17,Total,50-59,Widowed,2640,14860
3756,17,Total,60-69,Widowed,2763,12767
3757,17,Total,70-79,Widowed,1826,6766
3758,17,Total,80+,Widowed,919,2685
3759,17,Total,Age Not Stated,Widowed,36,125
3760,17,Rural,All Ages,Widowed,9331,41409
3761,17,Rural,Less than 20,Widowed,35,124
3762,17,Rural,20-29,Widowed,172,1068
3763,17,Rural,30-39,Widowed,692,4022
3764,17,Rural,40-49,Widowed,1805,9371
3765,17,Rural,50-59,Widowed,2163,10518
3766,17,Rural,60-69,Widowed,2260,9433
3767,17,Rural,70-79,Widowed,1456,4903
3768,17,Rural,80+,Widowed,715,1872
3769,17,Rural,Age Not Stated,Widowed,33,98
3770,17,Urban,All Ages,Widowed,1987,15796
3771,17,Urban,Less than 20,Widowed,2,20
3772,17,Urban,20-29,Widowed,24,201
3773,17,Urban,30-39,Widowed,104,1434
3774,17,Urban,40-49,Widowed,300,3762
3775,17,Urban,50-59,Widowed,477,4342
3776,17,Urban,60-69,Widowed,503,3334
3777,17,Urban,70-79,Widowed,370,1863
3778,17,Urban,80+,Widowed,204,813
3779,17,Urban,Age Not Stated,Widowed,3,27
3780,18,Total,All Ages,Widowed,189752,634713
3781,18,Total,Less than 20,Widowed,680,1771
3782,18,Total,20-29,Widowed,3855,10518
3783,18,Total,30-39,Widowed,14260,60418
3784,18,Total,40-49,Widowed,31652,141776
3785,18,Total,50-59,Widowed,41087,157941
3786,18,Total,60-69,Widowed,46539,160654
3787,18,Total,70-79,Widowed,34066,76587
3788,18,Total,80+,Widowed,17504,24671
3789,18,Total,Age Not Stated,Widowed,109,377
3790,18,Rural,All Ages,Widowed,168316,519557
3791,18,Rural,Less than 20,Widowed,619,1515
3792,18,Rural,20-29,Widowed,3617,9279
3793,18,Rural,30-39,Widowed,13282,51446
3794,18,Rural,40-49,Widowed,28823,116863
3795,18,Rural,50-59,Widowed,36493,127774
3796,18,Rural,60-69,Widowed,40800,131075
3797,18,Rural,70-79,Widowed,29439,61474
3798,18,Rural,80+,Widowed,15151,19861
3799,18,Rural,Age Not Stated,Widowed,92,270
3800,18,Urban,All Ages,Widowed,21436,115156
3801,18,Urban,Less than 20,Widowed,61,256
3802,18,Urban,20-29,Widowed,238,1239
3803,18,Urban,30-39,Widowed,978,8972
3804,18,Urban,40-49,Widowed,2829,24913
3805,18,Urban,50-59,Widowed,4594,30167
3806,18,Urban,60-69,Widowed,5739,29579
3807,18,Urban,70-79,Widowed,4627,15113
3808,18,Urban,80+,Widowed,2353,4810
3809,18,Urban,Age Not Stated,Widowed,17,107
3810,19,Total,All Ages,Widowed,467841,1955613
3811,19,Total,Less than 20,Widowed,1559,6153
3812,19,Total,20-29,Widowed,5413,24818
3813,19,Total,30-39,Widowed,19638,135241
3814,19,Total,40-49,Widowed,55940,371111
3815,19,Total,50-59,Widowed,99226,485311
3816,19,Total,60-69,Widowed,132054,550854
3817,19,Total,70-79,Widowed,102825,286156
3818,19,Total,80+,Widowed,50659,94181
3819,19,Total,Age Not Stated,Widowed,527,1788
3820,19,Rural,All Ages,Widowed,287086,1179270
3821,19,Rural,Less than 20,Widowed,985,3836
3822,19,Rural,20-29,Widowed,3942,18383
3823,19,Rural,30-39,Widowed,13545,94001
3824,19,Rural,40-49,Widowed,37216,239438
3825,19,Rural,50-59,Widowed,63013,289452
3826,19,Rural,60-69,Widowed,82178,332519
3827,19,Rural,70-79,Widowed,59020,155109
3828,19,Rural,80+,Widowed,26960,45752
3829,19,Rural,Age Not Stated,Widowed,227,780
3830,19,Urban,All Ages,Widowed,180755,776343
3831,19,Urban,Less than 20,Widowed,574,2317
3832,19,Urban,20-29,Widowed,1471,6435
3833,19,Urban,30-39,Widowed,6093,41240
3834,19,Urban,40-49,Widowed,18724,131673
3835,19,Urban,50-59,Widowed,36213,195859
3836,19,Urban,60-69,Widowed,49876,218335
3837,19,Urban,70-79,Widowed,43805,131047
3838,19,Urban,80+,Widowed,23699,48429
3839,19,Urban,Age Not Stated,Widowed,300,1008
3840,20,Total,All Ages,Widowed,216700,451684
3841,20,Total,Less than 20,Widowed,671,1144
3842,20,Total,20-29,Widowed,3974,8431
3843,20,Total,30-39,Widowed,14410,50875
3844,20,Total,40-49,Widowed,35445,108111
3845,20,Total,50-59,Widowed,50356,109624
3846,20,Total,60-69,Widowed,64367,119452
3847,20,Total,70-79,Widowed,34440,42586
3848,20,Total,80+,Widowed,12345,10213
3849,20,Total,Age Not Stated,Widowed,692,1248
3850,20,Rural,All Ages,Widowed,169886,337154
3851,20,Rural,Less than 20,Widowed,533,873
3852,20,Rural,20-29,Widowed,3364,6503
3853,20,Rural,30-39,Widowed,11949,38275
3854,20,Rural,40-49,Widowed,28915,78776
3855,20,Rural,50-59,Widowed,39523,78825
3856,20,Rural,60-69,Widowed,50605,93156
3857,20,Rural,70-79,Widowed,25741,32665
3858,20,Rural,80+,Widowed,8873,7449
3859,20,Rural,Age Not Stated,Widowed,383,632
3860,20,Urban,All Ages,Widowed,46814,114530
3861,20,Urban,Less than 20,Widowed,138,271
3862,20,Urban,20-29,Widowed,610,1928
3863,20,Urban,30-39,Widowed,2461,12600
3864,20,Urban,40-49,Widowed,6530,29335
3865,20,Urban,50-59,Widowed,10833,30799
3866,20,Urban,60-69,Widowed,13762,26296
3867,20,Urban,70-79,Widowed,8699,9921
3868,20,Urban,80+,Widowed,3472,2764
3869,20,Urban,Age Not Stated,Widowed,309,616
3870,21,Total,All Ages,Widowed,298713,775096
3871,21,Total,Less than 20,Widowed,655,1509
3872,21,Total,20-29,Widowed,4332,14158
3873,21,Total,30-39,Widowed,15819,74399
3874,21,Total,40-49,Widowed,38537,160255
3875,21,Total,50-59,Widowed,58819,175697
3876,21,Total,60-69,Widowed,87348,208420
3877,21,Total,70-79,Widowed,63378,109983
3878,21,Total,80+,Widowed,29112,29041
3879,21,Total,Age Not Stated,Widowed,713,1634
3880,21,Rural,All Ages,Widowed,260571,646776
3881,21,Rural,Less than 20,Widowed,572,1233
3882,21,Rural,20-29,Widowed,3873,12100
3883,21,Rural,30-39,Widowed,14039,62111
3884,21,Rural,40-49,Widowed,33848,131088
3885,21,Rural,50-59,Widowed,50928,143004
3886,21,Rural,60-69,Widowed,77003,178229
3887,21,Rural,70-79,Widowed,54932,93713
3888,21,Rural,80+,Widowed,24755,23937
3889,21,Rural,Age Not Stated,Widowed,621,1361
3890,21,Urban,All Ages,Widowed,38142,128320
3891,21,Urban,Less than 20,Widowed,83,276
3892,21,Urban,20-29,Widowed,459,2058
3893,21,Urban,30-39,Widowed,1780,12288
3894,21,Urban,40-49,Widowed,4689,29167
3895,21,Urban,50-59,Widowed,7891,32693
3896,21,Urban,60-69,Widowed,10345,30191
3897,21,Urban,70-79,Widowed,8446,16270
3898,21,Urban,80+,Widowed,4357,5104
3899,21,Urban,Age Not Stated,Widowed,92,273
3900,22,Total,All Ages,Widowed,207047,521589
3901,22,Total,Less than 20,Widowed,490,1083
3902,22,Total,20-29,Widowed,4122,9173
3903,22,Total,30-39,Widowed,13918,49312
3904,22,Total,40-49,Widowed,31997,105990
